Year,Month,Variable,101,102
1997,12,precip,15.838606,15.838606
1998,1,precip,27.771614,27.771614
1998,2,precip,48.450626,48.450626
1998,3,precip,42.172523,42.172523
1998,4,precip,45.62068,45.62068
1998,5,precip,89.291664,89.291664
1998,6,precip,154.59082,154.59082
1998,7,precip,87.85897,87.85897
1998,8,precip,63.43892,63.43892
1998,9,precip,99.192986,99.192986
1998,10,precip,115.555504,115.555504
1998,11,precip,62.10014,62.10014
1998,12,precip,38.950687,38.950687
1999,1,precip,29.345196,29.345196
1999,2,precip,26.728462,26.728462
1999,3,precip,39.197166,39.197166
1999,4,precip,63.805313,63.805313
1999,5,precip,129.54411,129.54411
1999,6,precip,107.36617,107.36617
1999,7,precip,284.85498,284.85498
1999,8,precip,137.93569,137.93569
1999,9,precip,136.2523,136.2523
1999,10,precip,52.201466,52.201466
1999,11,precip,15.5083933,15.5083933
1999,12,precip,15.9748583,15.9748583
2000,1,precip,24.587961,24.587961
2000,2,precip,33.317822,33.317822
2000,3,precip,52.820835,52.820835
2000,4,precip,49.919292,49.919292
2000,5,precip,88.015076,88.015076
2000,6,precip,123.41416,123.41416
2000,7,precip,87.14943,87.14943
2000,8,precip,136.37539,136.37539
2000,9,precip,56.505024,56.505024
2000,10,precip,83.16789,83.16789
2000,11,precip,78.432304,78.432304
2000,12,precip,26.480497,26.480497
2001,1,precip,29.355774,29.355774
2001,2,precip,54.971558,54.971558
2001,3,precip,23.413127,23.413127
2001,4,precip,155.91931,155.91931
2001,5,precip,129.29597,129.29597
2001,6,precip,91.83303,91.83303
2001,7,precip,82.558655,82.558655
2001,8,precip,103.846664,103.846664
2001,9,precip,46.875652,46.875652
2001,10,precip,86.2259,86.2259
2001,11,precip,56.4614,56.4614
2001,12,precip,26.668896,26.668896
2002,1,precip,16.6261725,16.6261725
2002,2,precip,19.458739,19.458739
2002,3,precip,42.493046,42.493046
2002,4,precip,46.59234,46.59234
2002,5,precip,55.483536,55.483536
2002,6,precip,147.14647,147.14647
2002,7,precip,147.93445,147.93445
2002,8,precip,123.95839,123.95839
2002,9,precip,79.63238,79.63238
2002,10,precip,66.955456,66.955456
2002,11,precip,16.867692,16.867692
2002,12,precip,24.856843,24.856843
2003,1,precip,13.85201,13.85201
2003,2,precip,14.234674,14.234674
2003,3,precip,23.980878,23.980878
2003,4,precip,50.22671,50.22671
2003,5,precip,81.80147,81.80147
2003,6,precip,107.20418,107.20418
2003,7,precip,126.693726,126.693726
2003,8,precip,67.85422,67.85422
2003,9,precip,110.31507,110.31507
2003,10,precip,49.740013,49.740013
2003,11,precip,44.940315,44.940315
2003,12,precip,23.131773,23.131773
2004,1,precip,34.85463,34.85463
2004,2,precip,30.08865,30.08865
2004,3,precip,48.4815,48.4815
2004,4,precip,40.372622,40.372622
2004,5,precip,116.848274,116.848274
2004,6,precip,49.78891,49.78891
2004,7,precip,109.10256,109.10256
2004,8,precip,71.099747,71.099747
2004,9,precip,152.16435,152.16435
2004,10,precip,81.432106,81.432106
