Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus resinosa ,0.455,Madgwick 1962; Madgwick et al. 1970
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus rigida ,0.303,Olsvig 1980
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus rigida ,0.286,Olsvig 1980
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus rigida ,0.278,Olsvig 1980
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus rigida ,0.417,Olsvig 1980
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus strobus ,0.769,Swank and Schreuder 1973; Swank and Schreuder 1974
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus sylvestris ,0.385,Ma¨lko¨nen 1974
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus sylvestris ,0.4,Ma¨lko¨nen 1974
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus sylvestris ,0.4,Ma¨lko¨nen 1974
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus sylvestris ,0.345,Alvera 1973; Alvera 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus taeda,1,Nemeth 1973a; Nemeth 1973b
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus taeda ,0.435,Nemeth 1973a; Nemeth 1973b
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus taeda ,0.556,Nemeth 1973a; Nemeth 1973b
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus taeda ,0.435,Nemeth 1973a; Nemeth 1973b
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus taeda ,0.909,Ralston 1973
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus taeda ,0.588,Wells et al. 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus taeda ,0.476,Nemeth 1973a; Nemeth 1973b
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus virginiana ,0.588,Madgwick 1968
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.256,Turner 1981; Turner and Long 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.233,Turner 1981; Turner and Long 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.213,Turner 1981; Turner and Long 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.286,Cole et al. 1968; Cole et al. 1981; Dice 1970; Grier et al. 1974
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.217,Cole et al. 1968; Cole et al. 1981; Dice 1970; Grier et al. 1974
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.2,Keyes and Grier 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.2,Keyes and Grier 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.25,Gholz 1982; Gholz et al. 1976; Gholz et al. 1979
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.25,Gholz 1982; Gholz et al. 1976; Gholz et al. 1979
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.222,Gholz 1982; Gholz et al. 1976; Gholz et al. 1979
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.417,Turner 1981; Turner and Long 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.5,Turner 1981; Turner and Long 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.323,Turner 1981; Turner and Long 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.27,Turner 1981; Turner and Long 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.213,Whittaker and Niering 1968; Whittaker and Niering 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.196,Whittaker and Niering 1968; Whittaker and Niering 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pseudotsuga menziesii ,0.313,Gholz 1982; Gholz et al. 1976; Gholz et al. 1979
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Tsuga diversifolia ,0.213,Kitazawa 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Tsuga heterophylla ,0.294,Fujimori 1971; Fujimori et al. 1976; Grier 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Tsuga heterophylla ,0.37,Fujimori 1971; Fujimori et al. 1976; Grier 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Tsuga sieboldii ,0.294,Ando et al. 1977
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Abies,12.4,Vogt et al. 1982
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Abies amabilis,5.46,Grier et al. 1981
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Abies amabilis,12.7,Grier et al. 1981
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Mixed pine,0.931,Nadelhoffer et al. 1985
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Picea,0.662,Nadelhoffer et al. 1985
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus contorta,3.64,Comeau and Kimmins 1989
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus contorta,5.5,Comeau and Kimmins 1989
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus contorta,2.76,Comeau and Kimmins 1989
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus contorta,1.47,Comeau and Kimmins 1989
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus elliottii,1.09,Gholz et al. 1986
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus radiata,0.463,Beets and Pllock 1987
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus radiata,0.347,Beets and Pllock 1987
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus resinosa,0.872,Nadelhoffer et al. 1985
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus strobus,0.994,Nadelhoffer et al. 1985
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,1.03,Mälkönen 1974
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,0.921,Mälkönen 1974
